"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"revolucionario",52508,781377,1745.53979,39.88024,13.194
"pueblo",105924,4883391,3521.26440,249.24048,10.369
"aplausos",29127,60747,968.27789,3.10043,10.362
"lucha",61068,2287009,2030.10254,116.72529,9.829
"revolución",41750,1313602,1387.90820,67.04415,8.907
"ejército",26608,1318298,884.53802,67.28383,5.885
"imperialismo",15394,132427,511.74753,6.75886,5.730
"popular",39091,3003780,1299.51428,153.30814,5.525
"guerra",40513,3638867,1346.78625,185.72197,5.064
"compañero",30388,2417144,1010.19775,123.36718,4.970
"militar",30626,2451874,1018.10968,125.13973,4.966
"nosotros",50109,5086829,1665.78906,259.62363,4.910
"campesino",16773,668238,557.59003,34.10580,4.904
"masa",19948,1144310,663.13751,58.40376,4.818
"obrero",17208,807309,572.05090,41.20377,4.759
"imperialista",11549,104408,383.92697,5.32882,4.594
"burgués",12046,189774,400.44891,9.68576,4.563
"político",63003,7559461,2094.42822,385.82285,4.517
"insurgente",9935,75063,330.27228,3.83110,4.144
"paz",23642,2281306,785.93835,116.43422,4.093
"fuerza",36186,4300572,1202.94250,219.49432,4.078
"zapatista",9244,45455,307.30118,2.31995,3.981
"armar",19411,1765517,645.28589,90.10917,3.920
"luchar",15358,1252664,510.55078,63.93397,3.724
"capitalista",10175,360025,338.25067,18.37510,3.702
"enemigo",14356,1096757,477.24097,55.97673,3.701
"cuba",15632,1409636,519.65942,71.94557,3.604
"guerrillero",8646,164187,287.42166,8.37984,3.575
"patria",10244,474059,340.54446,24.19522,3.547
"liberación",9904,477369,329.24176,24.36415,3.451
"nuestro",131289,23883874,4364.48096,1218.99487,3.385
"comunista",9407,487507,312.71982,24.88158,3.305
"país",74519,13556279,2477.25830,691.89087,3.255
"gobierno",57672,10248124,1917.20813,523.04791,3.238
"clase",26551,4017619,882.64313,205.05286,3.221
"democrático",12075,1098829,401.41296,56.08248,3.212
"colombiano",11912,1076622,395.99429,54.94907,3.201
"indígena",11854,1157476,394.06619,59.07573,3.106
"usted",27728,4493468,921.77051,229.33943,3.102
"oligarquía",6664,79427,221.53342,4.05383,3.090
"proletario",6510,62332,216.41396,3.18133,3.067
"socialismo",7369,271368,244.96996,13.85019,3.030
"colombia",15123,1977525,502.73859,100.92972,3.000
